"id","title","url","playable","rate","tag"
"1291937","关于我母亲的一切","https://movie.douban.com/subject/1291937/","False","8.5","成长"
"1291976","狗脸的岁月","https://movie.douban.com/subject/1291976/","False","8.5","喜剧"
"1291989","原始星球","https://movie.douban.com/subject/1291989/","False","8.7","动画"
"1291990","爱在日落黄昏时","https://movie.douban.com/subject/1291990/","True","8.8","经典"
"1291992","末路狂花","https://movie.douban.com/subject/1291992/","False","8.8","经典"
"1291999","重庆森林","https://movie.douban.com/subject/1291999/","True","8.7","经典"
"1292000","搏击俱乐部","https://movie.douban.com/subject/1292000/","False","9.0","经典"
"1292001","海上钢琴师","https://movie.douban.com/subject/1292001/","True","9.3","经典"
"1292047","蓝白红三部曲之红","https://movie.douban.com/subject/1292047/","True","8.7","爱情"
"1292048","蓝白红三部曲之蓝","https://movie.douban.com/subject/1292048/","True","8.5","爱情"
"1292049","蓝白红三部曲之白","https://movie.douban.com/subject/1292049/","True","8.4","爱情"
"1292052","肖申克的救赎","https://movie.douban.com/subject/1292052/","True","9.7","经典"
"1292055","再见列宁","https://movie.douban.com/subject/1292055/","False","8.8","欧美"
"1292056","蝴蝶","https://movie.douban.com/subject/1292056/","False","8.6","治愈"
"1292062","美国丽人","https://movie.douban.com/subject/1292062/","True","8.5","经典"
"1292063","美丽人生","https://movie.douban.com/subject/1292063/","False","9.5","经典"
"1292064","楚门的世界","https://movie.douban.com/subject/1292064/","True","9.3","经典"
"1292206","地下","https://movie.douban.com/subject/1292206/","False","9.2","经典"
"1292208","上帝之城","https://movie.douban.com/subject/1292208/","False","8.9","经典"
"1292211","对她说","https://movie.douban.com/subject/1292211/","True","8.6","爱情"
"1292212","天使之城","https://movie.douban.com/subject/1292212/","True","7.9","爱情"
"1292213","大话西游之大圣娶亲","https://movie.douban.com/subject/1292213/","True","9.2","经典"
"1292214","非常嫌疑犯","https://movie.douban.com/subject/1292214/","True","8.6","经典"
"1292215","天使爱美丽","https://movie.douban.com/subject/1292215/","True","8.7","经典"
"1292217","穆赫兰道","https://movie.douban.com/subject/1292217/","False","8.3","经典"
"1292218","中央车站","https://movie.douban.com/subject/1292218/","False","8.7","治愈"
"1292219","关于莉莉周的一切","https://movie.douban.com/subject/1292219/","False","7.8","日本"
"1292220","情书","https://movie.douban.com/subject/1292220/","False","8.9","经典"
"1292222","出租车司机","https://movie.douban.com/subject/1292222/","False","8.5","欧美"
"1292223","七宗罪","https://movie.douban.com/subject/1292223/","True","8.8","经典"
"1292224","飞越疯人院","https://movie.douban.com/subject/1292224/","False","9.1","经典"
"1292225","闪灵","https://movie.douban.com/subject/1292225/","True","8.2","经典"
"1292226","2001太空漫游","https://movie.douban.com/subject/1292226/","True","8.8","经典"
"1292229","天生杀人狂","https://movie.douban.com/subject/1292229/","False","8.0","动作"
"1292230","刺杀肯尼迪","https://movie.douban.com/subject/1292230/","True","8.8","悬疑"
"1292233","发条橙","https://movie.douban.com/subject/1292233/","False","8.5","经典"
"1292234","漫长的婚约","https://movie.douban.com/subject/1292234/","True","8.1","爱情"
"1292260","现代启示录","https://movie.douban.com/subject/1292260/","True","8.4","欧美"
"1292262","美国往事","https://movie.douban.com/subject/1292262/","True","9.2","经典"
"1292264","逃狱三王","https://movie.douban.com/subject/1292264/","True","7.9","喜剧"
"1292267","银河系漫游指南","https://movie.douban.com/subject/1292267/","True","8.1","喜剧"
"1292268","好家伙","https://movie.douban.com/subject/1292268/","True","8.4","欧美"
"1292269","骗中骗","https://movie.douban.com/subject/1292269/","True","8.7","欧美"
"1292270","梦之安魂曲","https://movie.douban.com/subject/1292270/","False","8.7","经典"
"1292271","毕业生","https://movie.douban.com/subject/1292271/","False","8.0","爱情"
"1292274","幸福终点站","https://movie.douban.com/subject/1292274/","True","8.8","经典"
"1292275","罗拉快跑","https://movie.douban.com/subject/1292275/","False","8.1","动作"
"1292277","偷香","https://movie.douban.com/subject/1292277/","False","7.7","悬疑"
"1292278","巴贝特之宴","https://movie.douban.com/subject/1292278/","True","8.3","爱情"
"1292279","成为约翰·马尔科维奇","https://movie.douban.com/subject/1292279/","True","8.2","喜剧"
"1292286","我的野蛮女友","https://movie.douban.com/subject/1292286/","True","8.2","经典"
"1292287","新龙门客栈","https://movie.douban.com/subject/1292287/","True","8.6","经典"
"1292288","公民凯恩","https://movie.douban.com/subject/1292288/","True","8.7","悬疑"
"1292289","心动","https://movie.douban.com/subject/1292289/","True","8.2","爱情"
"1292326","暴力街区","https://movie.douban.com/subject/1292326/","True","8.0","动作"
"1292328","东邪西毒","https://movie.douban.com/subject/1292328/","True","8.6","经典"
"1292329","牯岭街少年杀人事件","https://movie.douban.com/subject/1292329/","False","8.8","经典"
"1292330","恋恋风尘","https://movie.douban.com/subject/1292330/","False","8.6","爱情"
"1292332","移魂都市","https://movie.douban.com/subject/1292332/","True","7.9","科幻"
"1292337","无人知晓","https://movie.douban.com/subject/1292337/","True","9.1","经典"
"1292338","祖与占","https://movie.douban.com/subject/1292338/","True","8.4","爱情"
"1292343","蝴蝶效应","https://movie.douban.com/subject/1292343/","True","8.8","经典"
"1292347","黑客帝国动画版","https://movie.douban.com/subject/1292347/","True","8.8","动画"
"1292348","洛城机密","https://movie.douban.com/subject/1292348/","True","8.7","悬疑"
"1292349","阿拉伯的劳伦斯","https://movie.douban.com/subject/1292349/","True","8.7","欧美"
"1292365","活着","https://movie.douban.com/subject/1292365/","True","9.2","经典"
"1292370","剪刀手爱德华","https://movie.douban.com/subject/1292370/","True","8.7","经典"
"1292371","四月物语","https://movie.douban.com/subject/1292371/","False","8.2","日本"
"1292396","香港制造","https://movie.douban.com/subject/1292396/","False","8.2","华语"
"1292401","真爱至上","https://movie.douban.com/subject/1292401/","True","8.6","经典"
"1292402","西西里的美丽传说","https://movie.douban.com/subject/1292402/","True","8.9","经典"
"1292434","一一","https://movie.douban.com/subject/1292434/","False","9.0","经典"
"1292444","大逃杀","https://movie.douban.com/subject/1292444/","False","8.0","日本"
"1292450","暗花","https://movie.douban.com/subject/1292450/","False","8.4","悬疑"
"1292453","疯狂的麦克斯2","https://movie.douban.com/subject/1292453/","True","7.2","科幻"
"1292468","破浪","https://movie.douban.com/subject/1292468/","False","8.1","爱情"
"1292472","巴里·林登","https://movie.douban.com/subject/1292472/","False","8.8","欧美"
"1292484","碟中谍","https://movie.douban.com/subject/1292484/","True","8.1","豆瓣高分"
"1292499","毒药","https://movie.douban.com/subject/1292499/","False","7.3","恐怖"
"1292501","鬼玩人","https://movie.douban.com/subject/1292501/","False","7.1","恐怖"
"1292504","柏林苍穹下","https://movie.douban.com/subject/1292504/","False","8.5","爱情"
"1292506","赌神2","https://movie.douban.com/subject/1292506/","False","7.8","华语"
"1292510","潇洒有情天","https://movie.douban.com/subject/1292510/","False","8.1","冷门佳片"
"1292515","用心棒","https://movie.douban.com/subject/1292515/","True","8.9","日本"
"1292516","碧血金沙","https://movie.douban.com/subject/1292516/","True","8.6","动作"
"1292523","侏罗纪公园","https://movie.douban.com/subject/1292523/","True","8.1","经典"
"1292528","猜火车","https://movie.douban.com/subject/1292528/","True","8.5","经典"
"1292529","机器管家","https://movie.douban.com/subject/1292529/","True","8.5","科幻"
"1292533","狂人皮埃罗","https://movie.douban.com/subject/1292533/","True","8.3","爱情"
"1292547","卡里加里博士的小屋","https://movie.douban.com/subject/1292547/","True","8.8","恐怖"
"1292552","玩尽杀绝","https://movie.douban.com/subject/1292552/","False","7.0","悬疑"
"1292553","真实的谎言","https://movie.douban.com/subject/1292553/","True","8.2","动作"
"1292556","鬼入侵","https://movie.douban.com/subject/1292556/","True","6.2","恐怖"
"1292574","热情如火","https://movie.douban.com/subject/1292574/","True","8.8","喜剧"
"1292579","追梦者","https://movie.douban.com/subject/1292579/","False","8.2","冷门佳片"
"1292584","上海小姐","https://movie.douban.com/subject/1292584/","False","8.0","悬疑"
"1292585","边缘日记","https://movie.douban.com/subject/1292585/","False","8.2","成长"
"1292586","再见，孩子们","https://movie.douban.com/subject/1292586/","True","8.6","成长"
"1292588","无人生还","https://movie.douban.com/subject/1292588/","True","7.9","悬疑"
"1292593","三骑士","https://movie.douban.com/subject/1292593/","True","8.1","冷门佳片"
"1292599","异形魔怪","https://movie.douban.com/subject/1292599/","True","7.1","恐怖"
"1292624","尖峰时刻","https://movie.douban.com/subject/1292624/","True","7.1","动作"
"1292642","伴你高飞","https://movie.douban.com/subject/1292642/","True","8.9","治愈"
"1292646","情枭的黎明","https://movie.douban.com/subject/1292646/","True","8.7","欧美"
"1292656","心灵捕手","https://movie.douban.com/subject/1292656/","True","8.9","经典"
"1292659","变脸","https://movie.douban.com/subject/1292659/","True","8.5","经典"
"1292664","魔女嘉莉","https://movie.douban.com/subject/1292664/","False","7.4","恐怖"
"1292677","007之黄金眼","https://movie.douban.com/subject/1292677/","False","7.5","动作"
"1292679","春光乍泄","https://movie.douban.com/subject/1292679/","False","8.9","经典"
"1292680","深海狂鲨","https://movie.douban.com/subject/1292680/","True","7.2","科幻"
"1292697","虎胆龙威","https://movie.douban.com/subject/1292697/","True","8.2","动作"
"1292699","东方快车谋杀案","https://movie.douban.com/subject/1292699/","True","8.4","悬疑"
"1292704","黄飞鸿之三：狮王争霸","https://movie.douban.com/subject/1292704/","True","7.9","华语"
"1292718","大河恋","https://movie.douban.com/subject/1292718/","True","8.5","成长"
"1292719","大路","https://movie.douban.com/subject/1292719/","True","9.0","经典"
"1292720","阿甘正传","https://movie.douban.com/subject/1292720/","True","9.5","经典"
"1292722","泰坦尼克号","https://movie.douban.com/subject/1292722/","True","9.4","经典"
"1292728","勇闯夺命岛","https://movie.douban.com/subject/1292728/","True","8.6","经典"
"1292737","小公主","https://movie.douban.com/subject/1292737/","True","8.4","喜剧"
"1292739","恐怖幽灵","https://movie.douban.com/subject/1292739/","True","7.2","恐怖"
"1292757","木偶奇遇记","https://movie.douban.com/subject/1292757/","True","8.3","动画"
"1292760","贵妇失踪记","https://movie.douban.com/subject/1292760/","True","8.0","悬疑"
"1292765","小猪宝贝","https://movie.douban.com/subject/1292765/","True","8.1","喜剧"
"1292769","世界末日","https://movie.douban.com/subject/1292769/","True","7.8","科幻"
"1292772","喜剧之王","https://movie.douban.com/subject/1292772/","False","8.4","喜剧"
"1292778","将军号","https://movie.douban.com/subject/1292778/","True","9.1","经典"
"1292779","我知道你去年夏天干了什么","https://movie.douban.com/subject/1292779/","False","6.3","恐怖"
"1292780","时光倒流七十年","https://movie.douban.com/subject/1292780/","True","7.8","爱情"
"1292792","我自己的爱达荷","https://movie.douban.com/subject/1292792/","False","8.3","爱情"
"1292813","小魔星","https://movie.douban.com/subject/1292813/","True","7.3","恐怖"
"1292829","神探飞机头","https://movie.douban.com/subject/1292829/","True","7.3","喜剧"
"1292830","大街上的商店","https://movie.douban.com/subject/1292830/","False","8.3","冷门佳片"
"1292832","丧尸出笼","https://movie.douban.com/subject/1292832/","False","7.1","恐怖"
"1292836","我仍然知道你去年夏天干了什么","https://movie.douban.com/subject/1292836/","False","5.9","恐怖"
"1292843","黄飞鸿之西域雄狮","https://movie.douban.com/subject/1292843/","True","6.9","动作"
"1292846","省港旗兵","https://movie.douban.com/subject/1292846/","True","7.8","动作"
"1292849","拯救大兵瑞恩","https://movie.douban.com/subject/1292849/","True","9.0","经典"
"1292851","葛底斯堡","https://movie.douban.com/subject/1292851/","False","8.4","冷门佳片"
"1292853","安娜的情欲","https://movie.douban.com/subject/1292853/","True","8.0","冷门佳片"
"1292863","咫尺天涯","https://movie.douban.com/subject/1292863/","False","8.1","冷门佳片"
"1292867","快餐车","https://movie.douban.com/subject/1292867/","True","7.7","动作"
"1292872","街区男孩","https://movie.douban.com/subject/1292872/","False","8.1","冷门佳片"
"1292891","烽火赤焰万里情","https://movie.douban.com/subject/1292891/","True","8.0","冷门佳片"
"1292895","精武英雄","https://movie.douban.com/subject/1292895/","True","8.4","华语"
"1292913","糖果人","https://movie.douban.com/subject/1292913/","True","6.7","恐怖"
"1292925","伴我同行","https://movie.douban.com/subject/1292925/","True","8.9","经典"
"1292932","告别昨日","https://movie.douban.com/subject/1292932/","True","8.2","冷门佳片"
"1292943","光辉岁月","https://movie.douban.com/subject/1292943/","True","8.6","成长"
"1292950","新不了情","https://movie.douban.com/subject/1292950/","False","8.3","爱情"
"1292962","黑金","https://movie.douban.com/subject/1292962/","True","7.7","华语"
"1292963","船长二世","https://movie.douban.com/subject/1292963/","True","8.4","冷门佳片"
"1292968","大地","https://movie.douban.com/subject/1292968/","False","8.6","冷门佳片"
"1292969","光荣之路","https://movie.douban.com/subject/1292969/","True","9.1","经典"
"1292973","小鸡快跑","https://movie.douban.com/subject/1292973/","True","7.6","动画"
"1292981","婚姻生活","https://movie.douban.com/subject/1292981/","True","9.1","经典"
"1292994","开罗紫玫瑰","https://movie.douban.com/subject/1292994/","True","8.7","欧美"
"1293004","告别有情天","https://movie.douban.com/subject/1293004/","True","8.3","爱情"
"1293013","独立日","https://movie.douban.com/subject/1293013/","True","8.1","豆瓣高分"
"1293031","曼哈顿谋杀疑案","https://movie.douban.com/subject/1293031/","False","8.1","悬疑"
"1293035","鬼娃新娘","https://movie.douban.com/subject/1293035/","False","6.7","恐怖"
"1293046","热泪伤痕","https://movie.douban.com/subject/1293046/","True","8.6","悬疑"
"1293050","永不妥协","https://movie.douban.com/subject/1293050/","True","8.4","欧美"
"1293071","野草莓","https://movie.douban.com/subject/1293071/","True","8.7","欧美"
"1293073","变蝇人","https://movie.douban.com/subject/1293073/","True","7.3","科幻"
"1293077","苏菲的抉择","https://movie.douban.com/subject/1293077/","True","8.3","爱情"
"1293088","小鬼当家","https://movie.douban.com/subject/1293088/","True","8.3","经典"
"1293098","小倩","https://movie.douban.com/subject/1293098/","False","8.2","华语"
"1293104","冬狮","https://movie.douban.com/subject/1293104/","False","8.0","冷门佳片"
"1293105","蚀","https://movie.douban.com/subject/1293105/","True","8.4","爱情"
"1293107","野良犬","https://movie.douban.com/subject/1293107/","True","8.3","日本"
"1293118","龙争虎斗","https://movie.douban.com/subject/1293118/","True","8.3","动作"
"1293120","小美人鱼","https://movie.douban.com/subject/1293120/","True","8.4","动画"
